generation,best_fitness,avg_fitness,worst_fitness,std_fitness
0,42.576830416901686,8.434741433899667,-11.43654917067926,9.422807011969537
1,44.22400666825243,13.263717929895984,-12.021425571404185,10.378919235928624
2,51.15618627892888,18.664707338456136,-9.91888185736877,10.982669327419611
3,51.15618627892888,20.51598605606317,-10.10273250894353,13.960919157669013
4,57.00933174942464,22.53269525063759,0.47749713098187474,14.262612227112031
5,57.00933174942464,24.346784664760854,-11.927118963139645,15.311517966095364
6,57.00933174942464,26.076539115551174,-2.4018853336069137,16.049611318789243
7,57.00933174942464,25.326572671605984,-9.718247250119529,16.934186884395256
8,57.00933174942464,25.18180546234518,-17.36179493617431,17.184363213914338
9,59.21769630653345,26.95635779844569,-17.785097961815975,18.417296796586623
10,62.65268816616332,28.792567352024776,-6.3129159333009515,19.37430837199781
11,62.65268816616332,29.251605878763446,-8.084303813242865,18.77877344927849
12,62.65268816616332,26.768258788298297,-100.0,23.406533396212218
13,62.65268816616332,30.937645271749496,-12.045445271768932,20.264476861719334
14,62.65268816616332,26.285667122136164,-15.85120396638581,20.874996944394038
15,62.65268816616332,28.277484949425688,-14.605131195004274,21.94081996007325
16,65.69445578050242,30.33721809950296,-8.83763513184693,21.233659666976767
17,65.69445578050242,31.84088508555706,-8.814613249556093,21.05704435760781
18,65.69445578050242,31.70179046541884,-11.06920500769732,22.04318627615716
19,68.02141910214519,32.10284193995845,-10.280584391251221,22.139215429049408
20,68.02141910214519,32.113759550818905,-5.869407216023061,21.57300304924902
21,68.02141910214519,30.41309041571603,-11.99075514857702,22.205895179748524
22,68.02141910214519,32.91003268930204,-6.977220384849757,22.599876734369026
23,68.68918341586908,31.915641329120703,-6.740339383038424,22.16872724014172
24,68.68918341586908,29.77599068214476,-18.329737233487823,23.17906188491304
25,68.68918341586908,31.288005090607804,-10.935724001175666,22.569419628909817
26,68.68918341586908,32.64768179121149,-3.9788596134930754,21.974091963373443
27,68.68918341586908,35.621607254211305,-4.436456509462767,23.390511610093395
28,68.68918341586908,33.687871894169,-16.546474483121088,24.198422223572642
29,68.68918341586908,30.86149517036587,-6.708839058234975,24.057420948982994
