generation,best_fitness,avg_fitness,worst_fitness,std_fitness
0,22.717959051803355,-38.03534135151466,-100.0,44.80332975322468
1,22.717959051803355,-25.806438061082954,-100.0,44.355219019121776
2,31.55575736176594,-17.724225002791155,-100.0,44.311918004226506
3,31.55575736176594,-17.957224971610053,-100.0,44.973098355375676
4,31.55575736176594,-17.291937891529248,-100.0,44.84427625662065
5,31.55575736176594,-15.049710595464305,-100.0,43.45222057754012
6,32.60301228204497,-9.433940883032147,-100.0,40.35323939414503
7,32.60301228204497,-6.220740568278586,-100.0,38.93344515057136
8,32.62468306824476,-7.252006372076901,-100.0,41.37345204533691
9,32.71976318512922,-9.996393087078253,-100.0,45.131413469969324
10,32.75374530351081,-7.109885160721861,-100.0,43.314614915631964
11,33.89844284011546,-1.350814008624603,-100.0,38.50789517836271
12,33.89844284011546,-10.247775000465989,-100.0,46.519731379510766
13,33.89844284011546,-4.197519207393902,-100.0,42.73073550574396
14,33.89844284011546,-8.004232775025429,-100.0,45.79991551084018
15,33.89844284011546,-13.163820207786625,-100.0,46.27551923191618
16,33.89844284011546,-11.282440954468981,-100.0,45.1724314332579
17,33.89844284011546,-5.34403714556868,-100.0,42.03912474586723
18,33.89844284011546,-5.202767331214711,-100.0,42.49658630481971
19,33.89844284011546,-8.017436021484087,-100.0,46.4157486175355
20,34.10129772788944,-6.751958485396581,-100.0,41.22555104110283
21,34.451152145945535,-9.481128596762549,-100.0,48.72291615836355
22,34.451152145945535,-0.05574753505977568,-100.0,38.24104481534126
23,34.451152145945535,-6.621675535885366,-100.0,42.276248616838544
24,34.451152145945535,-11.686982191312199,-100.0,46.88738135882213
25,34.451152145945535,-4.163429578215729,-100.0,39.025105086198955
26,34.451152145945535,-6.032314773559032,-100.0,44.13685613299055
27,34.451152145945535,-8.752625050919836,-100.0,43.740806259128604
28,34.451152145945535,-8.31072249214391,-100.0,43.81364879813519
29,34.451152145945535,-8.754632419838545,-100.0,47.23172522318494
30,34.451152145945535,-11.478233344181426,-100.0,45.21088094061488
31,34.451152145945535,-10.368779399675821,-100.0,45.28830719710639
32,34.451152145945535,-5.9394833220275745,-100.0,43.50555650656867
33,34.451152145945535,-0.9500990713056757,-100.0,38.94518180449129
34,34.451152145945535,-4.864609739223512,-100.0,44.47412746389529
35,34.451152145945535,-10.919666735444277,-100.0,47.057956399241
36,34.451152145945535,-9.173980218513053,-100.0,48.21616612007503
37,34.451152145945535,-19.70488443103559,-100.0,51.159372401544914
38,34.451152145945535,-5.610255041145515,-100.0,40.20154848776366
39,34.451152145945535,-9.131367736878639,-100.0,44.99317972954722
40,34.451152145945535,-11.686950787404298,-100.0,46.229658363607946
41,34.451152145945535,-11.577792000627525,-100.0,47.14301973732618
42,34.451152145945535,-13.135071386053204,-100.0,47.78104333244628
43,34.451152145945535,-16.1580085558934,-100.0,50.891423959014176
44,34.451152145945535,-5.935137876194692,-100.0,40.20109236352576
45,34.451152145945535,-6.9511622068828425,-100.0,42.27141947472862
46,34.451152145945535,-5.0914786818908615,-100.0,41.99728965048635
47,34.451152145945535,-10.226680677434796,-100.0,46.5220614095131
48,34.451152145945535,-10.159890754953466,-100.0,45.6141436078901
49,34.451152145945535,-10.107458860837706,-100.0,46.711226104163835
