generation,best_fitness,avg_fitness,worst_fitness,std_fitness
0,38.443710026670374,38.443710026670374,38.443710026670374,0.0
1,38.443710026670374,38.443710026670374,38.443710026670374,0.0
2,38.443710026670374,38.443710026670374,38.443710026670374,0.0
3,38.443710026670374,38.443710026670374,38.443710026670374,0.0
4,38.443710026670374,38.443710026670374,38.443710026670374,0.0
5,38.443710026670374,38.443710026670374,38.443710026670374,0.0
6,38.443710026670374,38.443710026670374,38.443710026670374,0.0
7,38.443710026670374,38.443710026670374,38.443710026670374,0.0
8,38.443710026670374,38.443710026670374,38.443710026670374,0.0
9,38.443710026670374,38.443710026670374,38.443710026670374,0.0
10,38.443710026670374,38.443710026670374,38.443710026670374,0.0
11,38.443710026670374,38.443710026670374,38.443710026670374,0.0
12,38.443710026670374,38.443710026670374,38.443710026670374,0.0
13,38.443710026670374,38.443710026670374,38.443710026670374,0.0
14,38.443710026670374,38.443710026670374,38.443710026670374,0.0
15,38.443710026670374,38.443710026670374,38.443710026670374,0.0
16,38.443710026670374,38.443710026670374,38.443710026670374,0.0
17,38.443710026670374,38.443710026670374,38.443710026670374,0.0
18,38.443710026670374,38.443710026670374,38.443710026670374,0.0
19,38.443710026670374,38.443710026670374,38.443710026670374,0.0
20,38.443710026670374,38.443710026670374,38.443710026670374,0.0
21,38.443710026670374,38.443710026670374,38.443710026670374,0.0
22,38.443710026670374,38.443710026670374,38.443710026670374,0.0
23,38.443710026670374,38.443710026670374,38.443710026670374,0.0
24,38.443710026670374,38.443710026670374,38.443710026670374,0.0
25,38.443710026670374,38.443710026670374,38.443710026670374,0.0
26,38.443710026670374,38.443710026670374,38.443710026670374,0.0
27,38.443710026670374,38.443710026670374,38.443710026670374,0.0
28,38.443710026670374,38.443710026670374,38.443710026670374,0.0
29,38.443710026670374,38.443710026670374,38.443710026670374,0.0
