generation,best_fitness,avg_fitness,worst_fitness,std_fitness
0,16.199317802975717,6.764324689360137,-2.318178347651142,3.7748801639755043
1,16.199317802975717,8.22346546566607,-2.595493852119694,3.896749992784693
2,17.584406586734502,10.114975210522875,0.10078650285285529,4.048243806479651
3,17.66945574204631,10.4780553192048,-5.817657370148076,6.235519789250083
4,19.240000849587666,12.428007916391786,2.760863994607876,4.661962379955971
5,21.070198924364774,14.039190091676424,2.2443597384530904,4.734867809996154
6,23.205396816001215,14.433459012838508,3.1503624434985076,5.455856541371489
7,23.205396816001215,15.690255578674988,3.0550496903413045,5.750860991138051
8,23.205396816001215,15.453783293651691,3.9701501639665526,5.22898556698163
9,23.205396816001215,16.18057950649776,0.8243802226443504,5.548278849834656
10,24.424878096991648,15.984554770806763,-1.1358152222932345,6.183093287840025
11,24.424878096991648,16.27973996530079,3.194154762202558,6.176045457715505
12,24.424878096991648,15.496922970125386,3.047169679376719,6.733335443045232
13,24.424878096991648,16.849432044377885,4.177062145702411,5.538653628245986
14,24.424878096991648,17.057316845095624,8.901559558967191,4.427608657899797
15,24.531215289126795,16.201268639563114,-0.6571543686035906,6.928017207292866
16,24.531215289126795,15.988524579671697,1.8149694481183658,6.968805010469347
17,24.531215289126795,15.837175373990704,0.5310926825384481,7.161811777010492
18,24.531215289126795,17.373734769151863,3.172016538220436,6.468101864485141
19,25.1656289656192,16.443866503640557,-1.199773302783979,7.896356546243181
20,25.1656289656192,16.209691410203078,2.9768915168927244,6.4425831999903584
21,25.63551830271186,16.702482762056416,2.5048822478328563,7.395282165974931
22,25.63551830271186,15.775822466021234,1.976942497527598,6.835517666480984
23,25.63551830271186,16.885713924131057,7.747626238217994,5.6303115354064275
24,25.63551830271186,15.213522143264678,2.510419454886943,7.140423821817463
25,25.73604705790318,16.41434520467997,-3.838607473685591,8.02588382864008
26,25.73604705790318,15.486066160596783,-1.268633321937312,7.219080847120813
27,25.73604705790318,16.107014019628114,5.297080541571209,5.949657271916276
28,25.73604705790318,15.357724157842148,4.2350415480259205,7.00654183888407
29,25.73604705790318,16.953991943929495,0.44438911158128347,6.189116136659346
30,25.73604705790318,17.54525969466956,4.789257327769924,5.537257903519207
31,25.73604705790318,16.06425826950429,4.056074262661229,6.29704174969294
32,27.61353694230692,16.227512373757964,5.373399677100108,6.700278903929712
33,27.61353694230692,16.52140650493324,5.041126870980073,7.461654898314733
34,27.61353694230692,17.74169286919003,4.235434937880786,7.094072220681438
35,27.61353694230692,15.985868775694394,-1.5434286046075176,7.473860433609157
36,27.61353694230692,16.062119541752338,6.261323233082994,7.089457195415219
37,27.61353694230692,18.358431121812824,3.9311610623363515,6.3522914226974105
38,27.61353694230692,16.26510315193504,5.512305938262692,6.554060697226324
39,27.61353694230692,16.304264097967923,6.203208700716406,6.995383920076814
